stelian59,12fdaad48a75faad5ce3a27e7cb059d0e074876d@10.154.0.2:26656,10.154.0.2
bflabs,0292cf6207823ceb4d06e11f0ba238b110fd04c9@142.93.189.143:26656,142.93.189.143
Uranus,04b713b3fdd9057ee6771e46cc54daf8d879768d@206.189.214.28:26656,206.189.214.28
jss,0506c52a4943b188c0c4b2c36f2278935bb0cebe@10.30.100.11:26656,10.30.100.11
sikka,05d54e7fcb4b6a9188393d7b2c26fca1ed9d9c3d@159.65.73.193:26656,159.65.73.193
Safethecildren,05deb00391c24da987960f1ee3aa09226851f9f2@104.248.14.66:26656,104.248.14.66
coolbitbitbit,072645fc24e6f8abb472c8b11863c12c793792a3@138.197.171.65:26656,138.197.171.65
credence,0ad25dc527e2c7cca2ce62575438d7247ed0b6d0@142.93.186.65:26656,142.93.186.65
Apachto,0bddc21dc7bdaf0c6b42a6a4ef052342796cab81@178.62.66.20:26656,178.62.66.20
Snowballs,0d91284f5488f8d11eb64f13411a8971bf443524@178.128.245.140:26656,178.128.245.140
sherrym,0f1bda7fafb89d8f4ea8d4b8887513c2c4df223a@192.168.56.1:26656,192.168.56.1
KoreaNumberOne,12dcd67e32dfb4f3444dd927d8a93323702bf493@206.189.169.231:26656,206.189.169.231
serenity,1b0184119e44e5d3ec602cabf6664ff79a34f2fe@138.197.136.84:26656,138.197.136.84
Obsidian,1b6c40fe4224346bd6f6e75613ba3230d7a73185@104.248.51.66:26656,104.248.51.66
Mintelephantflavored,218dc9447641ffc7630400dd28f8859673b05dc6@104.248.214.99:26656,104.248.214.99
Mochalmond,22c39180fbb6057916ea5d816ae52ec220e5c315@159.203.189.151:26656,159.203.189.151
Asterilla.one,274afc5193876b3b01f51a109928ce4aa81d8c3c@138.68.11.9:26656,138.68.11.9
cha,28690b02a6995a0dc4ad5b6f497c3fc0a8f247f3@10.30.100.11:26656,10.30.100.11
cryptiumlabs,2df99a6a5d95d7a150564fdb6e67119bbc60cd1e@192.168.2.189:26656,192.168.2.189
Pineapple,334c007c28306c5c8e05ebe446519cb1b1e80316@104.248.23.99:26656,104.248.23.99
yys,3408cd173a8e96b766cc9ae3b36bbc6a6ebafa7b@10.30.100.11:26656,10.30.100.11
blockmatrix,35af7837cf697dded248d107d921e945dcb49292@10.0.18.108:26656,10.0.18.108
Minotaur,3b0115600875fa04f7c03ce308b96f6b57e07dba@178.128.187.88:26656,178.128.187.88
smooth-operator,3c18302d8f038a54c37881f697bb28055b494904@167.99.176.92:26656,167.99.176.92
@fulltrust,3f55d20605b295e5d0b3c4287ca3655ccf19ca4c@10.0.0.215:26656,10.0.0.215
crazyfrog,4117513d505d2bf96aaf9e6016807e759de9c057@178.62.230.176:26656,178.62.230.176
Karabo,419a3ba11b09cce6fb8056692eb9c591d5b16b36@142.93.185.233:26656,142.93.185.233
layover run,41ad22da819f17e5a738ebb644cc3ce92281347b@192.168.1.8:26656,192.168.1.8
Magog,41ea2c252db328170b0d38b3463407a7005bc2fe@104.248.0.167:26656,104.248.0.167
Athituwa,435b8febfc217721b5b66b9ae17fcb1202ea816f@142.93.65.15:26656,142.93.65.15
Municadianna,43e5fee03d1d063ad7bc91f13d3029de72b43f93@138.68.1.104:26656,138.68.1.104
MissSigma,440ca743b28b048b4bcdc81f41ebbf32af1e767b@104.248.217.213:26656,104.248.217.213
dar,449a7ed87069d2e165c91f124e31160c798127fc@104.248.252.220:26656,104.248.252.220
Milo,4595979b03a9aa793332283d9a68933ad4ec5732@67.205.138.220:26656,67.205.138.220
Aeon,466dd5c839994e5330a51499b5aea41fc6df6055@142.93.95.99:26656,142.93.95.99
zemya,4a53d0a92deb68a0085aa0b7f100fc475af42b94@172.31.77.169:26656,172.31.77.169
randomness,4ae0770bc10aa6631bb082c187042e863dfdf74a@209.97.180.66:26656,209.97.180.66
cheetah,4b870661dd8354be240400aa1f0d04df2a88234f@104.248.138.125:26656,104.248.138.125
validatorich,4c6dcde16ab569d8d122a9ae7376f21ce28b8103@192.168.0.47:26656,192.168.0.47
Wyver-io,50f1d1fc4ba60f6d958e2f606e5b7310aeafd039@138.68.53.128:26656,138.68.53.128
Coinone Validator,55392b5eba4afabe102fdf71b3f06c977a6f2a16@10.30.100.11:26656,10.30.100.11
Hemingway,56f984da0784727ca5c80407f7342a9fe3d2abfe@104.248.182.62:26656,104.248.182.62
communist,58c05f89f944c81b9247731687c6b48954fc18db@178.128.226.107:26656,178.128.226.107
Kyle-validator,5a1cbd770ec5545d5a941167e622c54d0d588672@142.93.194.233:26656,142.93.194.233
Michelle,5b42f0f02858514bfc9783dcb1ad16e4024bb8e7@188.166.81.111:26656,188.166.81.111
StakerSpace,5dd30116e956e93abdda4350d5fef163485de2e9@188.166.116.80:26656,188.166.116.80
trustworthy,5e790360c84e8c88d3dfa2a1088c66ae63b0bd12@188.166.111.5:26656,188.166.111.5
milkydays,5fef8e19f56bb86853dc9a196a6c3c09ed14a164@104.248.2.234:26656,104.248.2.234
Triton,6154c595f53ae66d3443c949962b65fc380f7f9a@104.248.114.186:26656,104.248.114.186
Toghterwecanbit,625c2ae57c0cac7b98b6a2a1353dbcddddbf02d6@104.248.255.249:26656,104.248.255.249
Blue-Mary,682567e687162f275eef5d833b5d6431e33e541f@167.99.207.228:26656,167.99.207.228
weakendiscoming,6b50cf94d5b9821c3e469d4b76df88d5171bb0a2@159.89.235.72:26656,159.89.235.72
gandhi,6e85a1c03d01a841424a2583d396c644ecf70b49@142.93.74.131:26656,142.93.74.131
Kazuya,71728beffb6e4135420b22e2315e58f8dd5c9342@167.99.32.171:26656,167.99.32.171
Cerberus,793c13088d811eb188da4491b53e78171c065dee@178.128.193.218:26656,178.128.193.218
Kotonami,7bd469659911803cee7d2e7552606765209c4334@138.68.60.251:26656,138.68.60.251
Perdulum,7ef80567f4eaee5a03b1ce7bc046b846fbb2c70b@206.189.118.170:26656,206.189.118.170
Knatanoby,806bf5910cd83099989e96e82f9b9d15367d97b5@165.227.42.158:26656,165.227.42.158
firstblock.io,83afdd9a5aa8b906f104eac746478ca040ab90da@10.10.101.205:26656,10.10.101.205
sybil2,8722d886f78cf5b54892f970ea09d805c6f3a09e@209.97.137.205:26656,209.97.137.205
Project Bohr,89078f513862ec7dfc9ab4f24644123e8fad8698@10.0.0.161:26656,10.0.0.161
Pneumonoultramicroscopicsilicovolcanoconiosis,8991f43a2a4999daaaff322bd7db3583f6fa41b0@167.99.191.246:26656,167.99.191.246
Strowberrysmouthy,899bb32985161d4ec091c7ff687df9e1b10a35e6@104.248.55.104:26656,104.248.55.104
Gammaw,89e0d6ccd36a253b2bc86abbbc7fc6276ed9cdeb@167.99.49.42:26656,167.99.49.42
Pondelica,940448216e86d752f1cb485b85272d3e1d9daf42@142.93.50.205:26656,142.93.50.205
Certus One,946d3491cc23b11df147e2364a8ebb6a547a0878@5.83.160.199:26656,5.83.160.199
Mimas,976a8e859f5f5b48918dfc3e6679d6cd9f278474@138.197.159.239:26656,138.197.159.239
XPM4Eva,9799211075653e58f098e6b2d41af91f57aedecb@172.17.0.5:26656,172.17.0.5
134340-Pluto,9ddaf04a2c0a25210e4271295c963579f8f16b75@178.128.74.63:26656,178.128.74.63
spark-validator,a0aca8fb801c69653a290bd44872e8457f8b0982@172.17.0.2:26656,172.17.0.2
Neptune,a39d2329b3bbfd78dcd37650c7fa4c73a36ae1c3@142.93.179.191:26656,142.93.179.191
bitme-partners,abe58b54cef7013dc2db8b2fe89ec8a279ecca32@142.93.206.115:26656,142.93.206.115
Hoshino,b16974d90dfd7f338f7a50a50d393b7ec5312ca4@104.248.130.197:26656,104.248.130.197
ijw,b55a35ae80e83e7bc3a3cb831daccd10d8efb2aa@10.30.100.11:26656,10.30.100.11
Gold,b779d41457cd1c2bc5d599246b2758e031d8235e@195.189.195.59:26656,195.189.195.59
F4RM,b8fe1be4fe3be33a8d62c349f35dbc41a9a78a81@172.16.16.20:26656,172.16.16.20
iqlusion.io,b9e3a663aa98e8925e1c4a0ba7816ff52e26c32e@10.200.0.3:26656,10.200.0.3
sol,bd4af598e90dc0531e8d094d4b8d679c1116b247@104.248.116.165:26656,104.248.116.165
Hydra-validator,c1451c1ca44f040a83922f3891ad3c8c4fad607e@69.55.60.99:26656,69.55.60.99
sybil1,c4468483b1f5704dade8e6792cbe908f26c18e5a@167.99.111.80:26656,167.99.111.80
doyoulift,c55e237e1d51deeefef239622655b6b65d56620f@159.203.47.1:26656,159.203.47.1
HappyCosmos,c580e5219c0c6e58b0280b837c36853bcae7a79e@172.31.41.165:26656,172.31.41.165
hotfuzz,c983b4aa7d123f663b634f088bb7a91698c78163@188.166.81.80:26656,188.166.81.80
lamamama,c9c667c84794bcfdb7517997a16788f015f805c3@142.93.250.167:26656,142.93.250.167
bing,d09084d678989e2c3166fe405fcb614e28e40865@206.189.65.207:26656,206.189.65.207
Castlenode,d3655c41ae59b51b2a7400ba35217e1e17a15f74@77.87.106.26:26656,77.87.106.26
Bonang,d3b8d01baf1e63c3da1cffaad17e78ccb0c4b1c4@104.248.10.230:26656,104.248.10.230
lino,d4b2c9e5ac0e94145fd5d803a1df01d7abae3d85@172.31.30.169:26656,172.31.30.169
ethereumos,d8a4dcd5d3b34593ccd54a9d5702072f6374b0c9@188.166.117.161:26656,188.166.117.161
TrustThisValidator,d9c6a323c479bcb58ad929efaa803e1751d755ae@104.248.128.129:26656,104.248.128.129
P2P.ORG Validator,d9e6465b0b16d2ed870ca7381a6e4dc9e75d030e@10.77.77.77:26656,10.77.77.77
Manticore,e106c5e08e22ae7f8bbb0facedf4cc56d7a4ac08@178.128.235.62:26656,178.128.235.62
JabuLabs,e297e8345deb60a6e69eff2511ec81af952207a2@167.99.145.179:26656,167.99.145.179
mango-sentry,e2ca323b88c4baafcf4835e93c4a354e797535bc@159.65.13.34:26656,159.65.13.34
r320one,e5ae03acabdc6a0787463e0c97d23d4460e24f58@10.228.0.2:26656,10.228.0.2
JS,e73c8d98068995af52942819ca6f0d02a719cb87@107.172.252.74:26656,107.172.252.74
AkiyamaTrust,e851b73dcb67972636d2b63f0ccf487e43edd504@138.68.244.83:26656,138.68.244.83
bitandether,e9c6b6b30e91b4d2c89ba1de2c819f50aee3dd54@142.93.46.50:26656,142.93.46.50
DOGE-1337,ea443276bbbbc4c1454511e967a10bf562576f5b@209.97.154.144:26656,209.97.154.144
infstones,f0faa6dd0233c27ab4c1aab9629ef3e4d09fc2a1@172.31.17.111:26656,172.31.17.111
moonmoon,f3f23a9cb55443bf9a4298402ec3368814162ec8@104.248.135.80:26656,104.248.135.80
cosmowow,f96d4546e2445769f9b5185f8f2b833cff096d89@104.248.6.139:26656,104.248.6.139
Masaki,fb8d1e446162176460d2e7283b3dc7e20135b99e@209.97.133.156:26656,209.97.133.156
vhxnode1,fe9a3a5c315ab2a924d68aebf78745b39c9b9ac6@10.0.0.9:26656,10.0.0.9
wancloud,5507aa226dbf3db33aad6cca554a10a00f442eb1@10.8.84.171:26656,10.8.84.171
crazyone,0802640a89f23307df8a2d057380e2e1f59d91f1@10.164.0.2:26656,10.164.0.2
ghost,9375c205b3a9f111827391f2b6f1bae79e5c9da9@192.168.122.10:26656,192.168.122.10
goldwin,41829c6e357fc584fd1d77bf5461dfa50037d45a@192.168.122.10:26656,192.168.122.10
grassfed-validator,a077cd00df77221616f1753b8b0a6ff6c73bf838@172.31.81.178:26656,172.31.81.178
hera,f7e6aa2966223fa90a2a80e2549610af401bfbe8@192.168.122.10:26656,192.168.122.10
ion,195fb67e49cf5c6d65c45c2ab9c59ac4e298cf28@10.55.212.71:26656,10.55.212.71
javpradel,33b80139160688e56e0d2b3c40ca448ad8e7999b@192.168.122.10:26656,192.168.122.10
Jisus,47a6728ecea0dcead45eef6f16787faf0a30736a@192.168.122.10:26656,192.168.122.10
liangping,b1169af80eddbb2a99259269c6e07b645ea076dc@172.17.6.92:26656,172.17.6.92
lunamint,11064ac846c66c36b7c2788e66dd94b9d6813fd0@172.31.1.161:26656,172.31.1.161
lvl99,19affc860eb8855d2a1a0bc93447b913221a6dbf@178.128.90.143:26656,178.128.90.143
merovingio,3a9f7be355212fb495e77c06cac14f9d874eca3a@192.168.122.10:26656,192.168.122.10
Mira,fbe59b2d984e20c78c943c0ae46a251fc3e193a8@178.128.144.156:26656,178.128.144.156
micka,50dd1fcc91961eae2e83123087f5e8e8dcf658d8@10.9.8.9:26656,10.9.8.9
morfeus,f7510b51b44db3c07e3ddb89b7da6d198f122544@192.168.122.10:26656,192.168.122.10
mpaxeVal,5c1c7e4846633ab65ef69c798fd28b0cc6627860@192.168.122.10:26656,192.168.122.10
neo,aaa98140da9ce469c141958a186d5a6cab45e5b1@192.168.122.10:26656,192.168.122.10
niobe,efab955d24551d0a19dc4a00698a41eb8b79e223@192.168.122.10:26656,192.168.122.10
osmose,d1eca3fb2f8d507e0be3b7a5687167bbb04b25a3@10.9.4.197:26656,10.9.4.197
parabailarlabam,2a828867081a077b09b8f5e7f69f47a58f1f1dd4@192.168.122.10:26656,192.168.122.10
pbostrom/Mythos,54ebb7b9650f3e0b50fa06fc44374da215402b72@192.168.2.23:26656,192.168.2.23
persefore,141efaecf1cefa1b5a6a183576b308894db72de9@192.168.122.10:26656,192.168.122.10
chinezupwnz,31ee737f6ce87971cff522ad51d5a1fdbb671222@192.168.29.133:26656,192.168.29.133
sentinl-validator,2f150f4ef327733ed780613a909fd4ad2c9b4864@185.227.110.166:26656,185.227.110.166
smith,20f22d07b511c4065264b5b41064b5d1697523b5@192.168.122.10:26656,192.168.122.10
melea-trust-4BE49EABAA41B8BF,8c9bd31892513b13227948370c475ce0b43e9cc4@54.39.98.105:26656,54.39.98.105
StakedGame,c7bfa5e5116b1c79c1cf292b9da9fdf5652d633b@10.2.86.178:26656,10.2.86.178
stake.zone,18585f4727556b5c8ccde102bbc29e937cd076f0@45.124.65.133:26656,45.124.65.133
suitedumonde,b4c05f6ab690e2378eb9fbb31946c72703e355dd@10.9.4.5:26656,10.9.4.5
test,9020e1e25529b0994e925d4272a8923363a093a2@192.168.1.8:26656,192.168.1.8
Terence,f508692444e9b518e4eb8dee36788f9ae88e83f6@172.21.7.166:26656,172.21.7.166
thomas,b3e3b996f241c6f08e1d5a530bf6841ba1a27413@192.168.122.10:26656,192.168.122.10
trinity,57841ca93944d99c807463ed30d5ba84c8248beb@192.168.122.10:26656,192.168.122.10
kochacolaj,41ad22da819f17e5a738ebb644cc3ce92281347b@192.168.1.8:26656,192.168.1.8
Umbrella,c345222c4750b80399a3b4c11bec3f2d1c79779b@10.128.0.3:26656,10.128.0.3
validator.network,80edba9d0fc9d48db6ca48888e855afd791e230c@169.254.2.2:26656,169.254.2.2
w1m3l,c66d71aacb712454fe510dc50d47890b3c75fe22@192.168.122.10:26656,192.168.122.10
wecosmos,4c1c332335e6380c38cb993716bcdea01c7aa20b@172.31.7.23:26656,172.31.7.23
wecosmos02,dd3ac2ebe1df9ce3e4cfc39324d1e249e13e3d3a@172.31.12.10:26656,172.31.12.10
wendi,59ebe1c556fc32e55980f58de73473ca9377669a@192.168.122.10:26656,192.168.122.10
wetez-cosmos-02,dd3ac2ebe1df9ce3e4cfc39324d1e249e13e3d3a@172.31.1.117:26656,172.31.1.117
node,186e13f118f91c34cabef46271bf54fee86eb4a9@172.31.44.127:26656,172.31.44.127
zednode,f050b3bcc788ce6393961afaab757156bedf6c7f@54.201.197.225:26656,54.201.197.225
